corpus_row_id,module,source_lesson_node_id,source_lesson_id,source_lesson_title,source_assignment_date,source_path,prerequisite_text,normalized_text,prerequisite_type,physics_topics,math_subtypes,prerequisite_depth,atomicity,mapping_status,direct_match_count,primary_target_node_id,primary_target_lesson_id,primary_target_lesson_title,primary_target_module,primary_target_assignment_date,primary_target_path,temporal_relation,match_confidence,match_basis,match_evidence,candidate_rank,candidate_score,top_unaccepted_candidate_title,top_unaccepted_candidate_path,top_unaccepted_candidate_score,review_scope,cycle_flag,future_review_flag
P212-0240,M1,212-M1-015,212-M1-015,Finding the Minimum Period Before a Coin Slips,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-4.md,Know that circular motion needs inward radial acceleration $a_r=v^2/r$.,know that circular motion needs inward radial acceleration ar=v^2/r,"Physics concept, law, or relation",Kinematics | Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-055,212-M1-055,Finding Radial Acceleration From Inward Forces,M1,2026-07-02,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-3.md,earlier,High,worked_move_equivalent,The lesson uses inward radial acceleration and an inward-positive force equation for circular motion.,1,0.4688,,,,semantically-reviewed,false,false
P212-0241,M1,212-M1-015,212-M1-015,Finding the Minimum Period Before a Coin Slips,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-4.md,"Know that static friction can have any size up to $f_{s,\max}=\mu_s N$.","know that static friction can have any size up to fs,\max=\mus n","Physics concept, law, or relation",Forces and Newtonian dynamics,,D1,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Deciding True Statements About Static Friction on a Banked Turn,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-9.md,0.2879,algorithmic-screen-only,false,true
P212-0242,M1,212-M1-015,212-M1-015,Finding the Minimum Period Before a Coin Slips,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-4.md,Know that period and speed are related by $v=2\pi r/T$.,know that period and speed are related by v=2\pi r/t,"Physics concept, law, or relation",Kinematics | Circular and rotational motion,,D1,Atomic,direct-match,1,212-M1-039,212-M1-039,Putting Period in the Denominator for Rotating-Disk Speed,M1,2026-06-25,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-3.md,earlier,High,worked_move_equivalent,The lesson derives angular speed two pi over T and connects period to tangential speed.,1,0.3601,,,,semantically-reviewed,false,false
P212-0243,M1,212-M1-015,212-M1-015,Finding the Minimum Period Before a Coin Slips,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-4.md,Be able to write Newton's second law separately in vertical and radial directions.,be able to write newton's second law separately in vertical and radial directions,"Physics concept, law, or relation",Forces and Newtonian dynamics,,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Tangential Acceleration in a Vertical Circle,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-4.md,0.2927,algorithmic-screen-only,false,true
P212-0244,M1,212-M1-065,212-M1-065,Bead on a Frictionless Cone,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-5.md,Draw a free-body diagram using only real forces.,draw a free-body diagram using only real forces,Integrated modeling schema,Forces and Newtonian dynamics,,D3,Atomic,direct-match,1,212-M1-026,212-M1-026,Choosing a Free-Body Diagram for a Conical Pendulum,M1,2026-06-30,/Users/jake/Developer/study/vault/212/M1/2026-06-30-M1-4/Lessons/Problem-7.md,earlier,High,worked_move_equivalent,The lesson builds a free-body diagram from only real interactions and rejects centripetal force as an extra arrow.,1,0.5286,,,,semantically-reviewed,false,false
P212-0245,M1,212-M1-065,212-M1-065,Bead on a Frictionless Cone,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-5.md,Resolve an angled force into components.,resolve an angled force into components,"Physics concept, law, or relation",Forces and Newtonian dynamics,Vector mathematics,D3,Atomic,direct-match,1,212-M1-060,212-M1-060,Writing the Vertical Force Equation on a Banked Track,M1,2026-07-03,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-6.md,earlier,High,worked_move_equivalent,The lesson resolves each angled contact force into orthogonal components.,3,0.3357,,,,semantically-reviewed,false,false
P212-0246,M1,212-M1-065,212-M1-065,Bead on a Frictionless Cone,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-5.md,Use $\sum F_r = mv^2/r$ for uniform circular motion.,use \sum fr = mv^2/r for uniform circular motion,"Physics concept, law, or relation",Kinematics | Circular and rotational motion,,D2,Atomic,direct-match,1,212-M1-061,212-M1-061,Resolving Banked-Track Forces Along the Centripetal Direction,M1,2026-07-03,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-7.md,earlier,High,worked_move_equivalent,The lesson writes the radial force sum exactly as m v squared over r.,,,,,,semantically-reviewed,false,false
P212-0247,M1,212-M1-065,212-M1-065,Bead on a Frictionless Cone,2026-07-05,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-5.md,Use $T = 2\pi r/v$ for one circular orbit.,use t = 2\pi r/v for one circular orbit,"Physics concept, law, or relation",Circular and rotational motion | Gravitation and orbits,,D2,Atomic,direct-match,1,212-M1-059,212-M1-059,Finding Centripetal Force From Radius and Period,M1,2026-07-03,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-3.md,earlier,High,worked_move_equivalent,The lesson derives v equals two pi r over T for one orbit and supports solving it for T.,,,,,,semantically-reviewed,false,false
P212-0248,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-1.md,,Acceleration in Constant-Speed Circular Motion,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-1.md,Recognize that a vector has both magnitude and direction.,recognize that a vector has both magnitude and direction,Mathematical technique,,Vector mathematics,D3,Atomic,no-direct-match-after-review,0,,,,,,,,,,,,,Checking the Magnitude of Centripetal Acceleration,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,0.3269,candidate-set-semantically-reviewed,false,true
P212-0249,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-1.md,,Acceleration in Constant-Speed Circular Motion,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-1.md,Recognize the radius from an object to the center of a circle.,recognize the radius from an object to the center of a circle,Mathematical technique,,Geometry and trigonometry,D2,Atomic,direct-match,1,212-M1-007,212-M1-007,Comparing Centripetal Acceleration with the Radius Vector,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-7.md,earlier,High,concept_equivalent,The lesson explicitly teaches the radius vector with its tail at the center and head at the object.,3,0.2572,,,,semantically-reviewed,false,false
P212-0250,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-1.md,,Acceleration in Constant-Speed Circular Motion,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-1.md,Recognize the tangent direction at a point on a circle.,recognize the tangent direction at a point on a circle,Mathematical technique,,Geometry and trigonometry,D2,Atomic,direct-match,1,212-M1-006,212-M1-006,Recognizing Tangential Velocity in Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-6.md,earlier,High,concept_equivalent,The lesson identifies tangent direction from the object's location and sense of rotation.,1,0.3668,,,,semantically-reviewed,false,false
P212-0251,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-2.md,,Choosing the Net-Force Vector in Constant-Speed Circular Motion,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-2.md,Read the direction of a vector from its tail toward its arrowhead.,read the direction of a vector from its tail toward its arrowhead,Semantic and physical interpretation,,Vector mathematics,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Comparing Centripetal Acceleration with the Radius Vector,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-7.md,0.2351,algorithmic-screen-only,false,true
P212-0252,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-2.md,,Choosing the Net-Force Vector in Constant-Speed Circular Motion,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-2.md,Distinguish an object's speed from the direction of its velocity.,distinguish an object's speed from the direction of its velocity,Semantic and physical interpretation,Kinematics,,D2,Atomic,direct-match,1,212-M1-048,212-M1-048,Identifying Velocity Direction in Non-Uniform Circular Motion,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-10.md,earlier,High,concept_equivalent,The lesson distinguishes velocity direction along the tangent from speed as its changing magnitude.,2,0.3075,,,,semantically-reviewed,false,false
P212-0253,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-2.md,,Choosing the Net-Force Vector in Constant-Speed Circular Motion,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-2.md,"Use Newton's second law, $\vec F_{\mathrm{net}}=m\vec a$.","use newton's second law, fnet=m a","Physics concept, law, or relation",Forces and Newtonian dynamics,Vector mathematics,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Turn Applied Forces into Angular Acceleration,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Group-3-Torque-and-Rotational-Dynamics.md,0.242,algorithmic-screen-only,false,true
P212-0254,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-3.md,,Choosing a Free-Body Diagram for a Rotating Bead,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-3.md,Recognize weight as the gravitational force $mg$ directed downward.,recognize weight as the gravitational force mg directed downward,Representation and spatial literacy,Forces and Newtonian dynamics,,D1,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Comparing Normal Force and Weight at the Top of a Hill,/Users/jake/Developer/study/vault/212/M1/2026-07-05-PQ-1/Lessons/Problem-3.md,0.2713,algorithmic-screen-only,false,true
P212-0255,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-3.md,,Choosing a Free-Body Diagram for a Rotating Bead,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-3.md,Recognize that a frictionless contact force has no component along the surface or wire.,recognize that a frictionless contact force has no component along the surface or wire,"Physics concept, law, or relation",Forces and Newtonian dynamics,Vector mathematics,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Recognizing Contact Loss on a Curved Surface,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-12.md,0.2883,algorithmic-screen-only,false,true
P212-0256,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-3.md,,Choosing a Free-Body Diagram for a Rotating Bead,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-3.md,Recognize that constant-speed circular motion has inward acceleration $v^2/r$.,recognize that constant-speed circular motion has inward acceleration v^2/r,"Physics concept, law, or relation",Kinematics | Circular and rotational motion,,D1,Atomic,direct-match,1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-1.md,,Acceleration in Constant-Speed Circular Motion,M1,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-1.md,same-date,High,worked_move_equivalent,The lesson directly teaches inward acceleration v squared over r at constant speed.,1,0.6155,,,,semantically-reviewed,false,false
P212-0257,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-3.md,,Choosing a Free-Body Diagram for a Rotating Bead,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-3.md,Resolve a vector into horizontal and vertical components.,resolve a vector into horizontal and vertical components,Mathematical technique,,Vector mathematics,D3,Atomic,direct-match,1,212-M1-060,212-M1-060,Writing the Vertical Force Equation on a Banked Track,M1,2026-07-03,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-6.md,earlier,High,worked_move_equivalent,The lesson resolves force vectors into horizontal and vertical components.,1,0.3567,,,,semantically-reviewed,false,false
P212-0258,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-4.md,,Resolving Vertical-Circle Motion with r-t Axes,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-4.md,Resolve a vector into components with sine and cosine.,resolve a vector into components with sine and cosine,Mathematical technique,,Geometry and trigonometry | Vector mathematics,D3,Atomic,direct-match,1,212-M1-060,212-M1-060,Writing the Vertical Force Equation on a Banked Track,M1,2026-07-03,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-6.md,earlier,High,worked_move_equivalent,The lesson chooses sine and cosine to resolve vectors onto perpendicular axes.,1,0.3806,,,,semantically-reviewed,false,false
P212-0259,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-4.md,,Resolving Vertical-Circle Motion with r-t Axes,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-4.md,Apply Newton's second law along a chosen axis.,apply newton's second law along a chosen axis,"Physics concept, law, or relation",Forces and Newtonian dynamics,,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Turn Applied Forces into Angular Acceleration,/Users/jake/Developer/study/vault/212/M3/2026-07-20-Q-2/Lessons/Group-3-Torque-and-Rotational-Dynamics.md,0.2573,algorithmic-screen-only,false,true
P212-0260,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-4.md,,Resolving Vertical-Circle Motion with r-t Axes,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-4.md,Use $a_r=v^2/L=\omega^2L$ for motion along a circle of radius $L$.,use ar=v^2/l=\omega^2l for motion along a circle of radius l,"Physics concept, law, or relation",Kinematics | Circular and rotational motion,Geometry and trigonometry,D2,Atomic,direct-match,1,212-M1-004,212-M1-004,Checking the Magnitude of Centripetal Acceleration,M1,2026-06-28,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-9.md,earlier,High,worked_move_equivalent,The lesson derives and practices a-r equals v squared over r equals omega squared r.,,,,,,semantically-reviewed,false,false
P212-0261,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-5.md,,From Linear Velocity to Spool Revolutions,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-5.md,Integrate a polynomial term by term with the power rule.,integrate a polynomial term by term with the power rule,Mathematical technique,,Calculus,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding the Units of a Coefficient in Angular Acceleration,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-3.md,0.2447,algorithmic-screen-only,false,true
P212-0262,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-5.md,,From Linear Velocity to Spool Revolutions,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-5.md,"Use the circumference of a circle, $C=2\pi r$.","use the circumference of a circle, c=2\pi r",Mathematical technique,,Geometry and trigonometry,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding the Net-Force Direction in Circular Motion,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-4.md,0.1591,algorithmic-screen-only,false,true
P212-0263,M1,PATH:M1/2026-07-06-Q-1/Lessons/Problem-5.md,,From Linear Velocity to Spool Revolutions,2026-07-06,/Users/jake/Developer/study/vault/212/M1/2026-07-06-Q-1/Lessons/Problem-5.md,Round a calculated result to a stated number of significant figures.,round a calculated result to a stated number of significant figures,Measurement and computation,,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Radial Acceleration From Inward Forces,/Users/jake/Developer/study/vault/212/M1/2026-07-02-M1-5/Lessons/Problem-3.md,0.1472,algorithmic-screen-only,false,true
P212-0264,M2,212-M2-001,212-M2-001,Finding the Center of Mass of Two Point Masses,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-1.md,Read signed positions on the $x$-axis.,read signed positions on the x-axis,Representation and spatial literacy,,,D1,Atomic,no-direct-match-after-review,0,,,,,,,,,,,,,Find Angular Speed From Angular Position,/Users/jake/Developer/study/vault/212/M1/2026-06-25-M1-2/Lessons/Problem-1.md,0.3014,candidate-set-semantically-reviewed,false,true
P212-0265,M2,212-M2-001,212-M2-001,Finding the Center of Mass of Two Point Masses,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-1.md,Multiply each mass by its position.,multiply each mass by its position,Mathematical technique,,Numeracy and arithmetic,D2,Atomic,direct-match,1,212-M2-002,212-M2-002,Center of Mass of Two Point Masses,M2,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-2.md,same-date,High,worked_move_equivalent,The lesson constructs the center-of-mass numerator by pairing each mass with its position.,7,0.2058,,,,semantically-reviewed,false,false
P212-0266,M2,212-M2-001,212-M2-001,Finding the Center of Mass of Two Point Masses,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-1.md,Add algebraic terms and simplify rational expressions.,add algebraic terms and simplify rational expressions,Mathematical technique,,Numeracy and arithmetic | Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding the Units of a Coefficient in Angular Acceleration,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-3.md,0.1018,algorithmic-screen-only,false,true
P212-0267,M2,212-M2-001,212-M2-001,Finding the Center of Mass of Two Point Masses,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-1.md,Convert a terminating decimal ratio to an equivalent fraction.,convert a terminating decimal ratio to an equivalent fraction,Measurement and computation,,Numeracy and arithmetic | Ratios and proportional reasoning,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Gravity at Altitude as a Fraction of Surface Gravity,/Users/jake/Developer/study/vault/212/M3/2026-07-15-M3-1/Lessons/Problem-2.md,0.1838,algorithmic-screen-only,false,true
P212-0268,M2,212-M2-002,212-M2-002,Center of Mass of Two Point Masses,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-2.md,Interpret position on a one-dimensional coordinate axis.,interpret position on a one-dimensional coordinate axis,Semantic and physical interpretation,,Geometry and trigonometry,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Center of Mass on a Symmetry Axis,/Users/jake/Developer/study/vault/212/M2/2026-07-12-HW-3/Lessons/Problem-9.md,0.231,algorithmic-screen-only,false,true
P212-0269,M2,212-M2-002,212-M2-002,Center of Mass of Two Point Masses,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-2.md,Substitute values into an algebraic formula.,substitute values into an algebraic formula,Mathematical technique,,Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Centripetal Force From Radius and Period,/Users/jake/Developer/study/vault/212/M1/2026-07-03-HW-2/Lessons/Problem-3.md,0.1503,algorithmic-screen-only,false,true
P212-0270,M2,212-M2-002,212-M2-002,Center of Mass of Two Point Masses,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-2.md,Simplify fractions with a common factor.,simplify fractions with a common factor,Mathematical technique,,Numeracy and arithmetic | Algebra and formula manipulation,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Gravity at Altitude as a Fraction of Surface Gravity,/Users/jake/Developer/study/vault/212/M3/2026-07-15-M3-1/Lessons/Problem-2.md,0.1975,algorithmic-screen-only,false,true
P212-0271,M2,212-M2-002,212-M2-002,Center of Mass of Two Point Masses,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-2.md,Distinguish mass units from length units.,distinguish mass units from length units,Semantic and physical interpretation,,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding a Linear-Density Coefficient From Total Mass,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-6.md,0.2856,algorithmic-screen-only,false,true
P212-0272,M2,212-M2-003,212-M2-003,Finding the Center of Mass of Identical Blocks,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-3.md,Find the midpoint of an interval.,find the midpoint of an interval,Mathematical technique,,Geometry and trigonometry,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Wavelength From a Double-Slit Intensity Graph,/Users/jake/Developer/study/vault/212/M6/2026-08-05-M6-1/Lessons/Problem-4.md,0.1583,algorithmic-screen-only,false,true
P212-0273,M2,212-M2-003,212-M2-003,Finding the Center of Mass of Identical Blocks,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-3.md,Compute the arithmetic mean of a list.,compute the arithmetic mean of a list,Mathematical technique,,Numeracy and arithmetic,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Choosing a Free-Body Diagram for a Conical Pendulum,/Users/jake/Developer/study/vault/212/M1/2026-06-30-M1-4/Lessons/Problem-7.md,0.1678,algorithmic-screen-only,false,true
P212-0274,M2,212-M2-003,212-M2-003,Finding the Center of Mass of Identical Blocks,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-3.md,Read horizontal positions from a coordinate diagram.,read horizontal positions from a coordinate diagram,Representation and spatial literacy,,Geometry and trigonometry,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding the Smallest Torque From a Force Diagram,/Users/jake/Developer/study/vault/212/M2/2026-07-09-M2-3/Lessons/Problem-2.md,0.2072,algorithmic-screen-only,false,true
P212-0275,M2,212-M2-004,212-M2-004,Finding the Center of Mass of Joined Cubes,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-4.md,Use the cube-volume formula $V=s^3$.,use the cube-volume formula v=s^3,Mathematical technique,,Geometry and trigonometry,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Bounding the Center of Mass of Two Unequal Cubes,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-5.md,0.2763,algorithmic-screen-only,false,true
P212-0276,M2,212-M2-004,212-M2-004,Finding the Center of Mass of Joined Cubes,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-4.md,Use $m=\rho V$ for an object of constant density.,use m=\rho v for an object of constant density,"Physics concept, law, or relation",Center of mass and density,,D2,Atomic,no-direct-match-after-review,0,,,,,,,,,,,,,Finding a Density Constant from Total Mass,/Users/jake/Developer/study/vault/212/M2/2026-07-12-HW-3/Lessons/Problem-3.md,0.4945,candidate-set-semantically-reviewed,false,true
P212-0277,M2,212-M2-004,212-M2-004,Finding the Center of Mass of Joined Cubes,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-4.md,Locate a cube's geometric center halfway along each dimension.,locate a cube's geometric center halfway along each dimension,Semantic and physical interpretation,,,D1,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Bounding the Center of Mass of Two Unequal Cubes,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-5.md,0.1723,algorithmic-screen-only,false,true
P212-0278,M2,212-M2-004,212-M2-004,Finding the Center of Mass of Joined Cubes,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-4.md,Compute and simplify a mass-weighted average.,compute and simplify a mass-weighted average,Mathematical technique,,Numeracy and arithmetic | Algebra and formula manipulation | Ratios and proportional reasoning,D2,Compound,direct-match,1,212-M2-002,212-M2-002,Center of Mass of Two Point Masses,M2,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-2.md,same-date,High,worked_move_equivalent,The lesson teaches and practices the mass-weighted average of two positions.,1,0.3954,,,,semantically-reviewed,false,false
P212-0279,M2,212-M2-004,212-M2-004,Finding the Center of Mass of Joined Cubes,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-4.md,Round a final measured result to the appropriate significant figures.,round a final measured result to the appropriate significant figures,Measurement and computation,,,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Tangential Speed From Angular Velocity,/Users/jake/Developer/study/vault/212/M1/2026-06-29-M1-3/Lessons/Problem-2.md,0.1064,algorithmic-screen-only,false,true
P212-0280,M2,212-M2-005,212-M2-005,Bounding the Center of Mass of Two Unequal Cubes,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-5.md,Find the midpoint of an interval.,find the midpoint of an interval,Mathematical technique,,Geometry and trigonometry,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Wavelength From a Double-Slit Intensity Graph,/Users/jake/Developer/study/vault/212/M6/2026-08-05-M6-1/Lessons/Problem-4.md,0.1583,algorithmic-screen-only,false,true
P212-0281,M2,212-M2-005,212-M2-005,Bounding the Center of Mass of Two Unequal Cubes,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-5.md,Use $V=s^3$ for the volume of a cube.,use v=s^3 for the volume of a cube,Mathematical technique,,Geometry and trigonometry,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding the Center of Mass of Joined Cubes,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-4.md,0.2588,algorithmic-screen-only,false,true
P212-0282,M2,212-M2-005,212-M2-005,Bounding the Center of Mass of Two Unequal Cubes,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-5.md,Interpret a weighted average on a number line.,interpret a weighted average on a number line,Semantic and physical interpretation,,Numeracy and arithmetic | Ratios and proportional reasoning,D2,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Center of Mass of Two Point Masses,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-2.md,0.2875,algorithmic-screen-only,false,true
P212-0283,M2,212-M2-006,212-M2-006,Finding a Linear-Density Coefficient From Total Mass,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-6.md,Interpret linear density as mass per unit length.,interpret linear density as mass per unit length,Semantic and physical interpretation,Center of mass and density,,D2,Atomic,direct-match,1,212-M2-020,212-M2-020,Center of Mass from a Linear Density,M2,2026-07-12,/Users/jake/Developer/study/vault/212/M2/2026-07-12-HW-3/Lessons/Problem-4.md,later,Medium,concept_equivalent,The lesson interprets a position-dependent linear density as the mass weighting along a rod.,1,0.4175,,,,semantically-reviewed,true,true
P212-0284,M2,212-M2-006,212-M2-006,Finding a Linear-Density Coefficient From Total Mass,2026-07-07,/Users/jake/Developer/study/vault/212/M2/2026-07-07-M2-1/Lessons/Problem-6.md,Use the power rule for integration.,use the power rule for integration,Mathematical technique,,Calculus,D3,Atomic,no-strong-candidate,0,,,,,,,,,,,,,Finding Angular Velocity From Angular Acceleration,/Users/jake/Developer/study/vault/212/M1/2026-06-28-HW-1/Lessons/Problem-4.md,0.2798,algorithmic-screen-only,false,true
